external_gene_name,ensembl_gene_id,SRR7624365,SRR7624366,SRR7624367,SRR7624368,SRR7624369,SRR7624370,SRR7624371,SRR7624372,SRR7624373,SRR7624374,SRR7624375,SRR7624376,SRR7624377,SRR7624378,SRR7624379,SRR7624380
Gm33699,ENSMUSG00000111147,9,20,4,10,19,25,27,29,10,27,29,31,4,11,2,0
Gm39348,ENSMUSG00000111180,2,7,3,0,0,3,5,0,8,3,3,11,4,0,1,0
Gm34004,ENSMUSG00000111169,0,0,0,0,0,0,2,7,0,0,0,2,2,2,0,1
Gm33914,ENSMUSG00000111354,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
4933433G08Rik,ENSMUSG00000111807,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
I730028E13Rik,ENSMUSG00000110998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34105,ENSMUSG00000111449,0,0,0,0,0,0,10,1,6,0,2,1,0,0,0,0
B930092H01Rik,ENSMUSG00000111658,17,15,4,8,2,6,4,9,13,21,21,4,12,13,2,0
Gm10655,ENSMUSG00000074256,22,6,14,8,8,13,12,9,6,24,30,36,39,80,82,60
Tle3,ENSMUSG00000032280,15674,7949,4962,3241,4480,3341,5154,3758,5857,3186,5211,4184,8418,5697,9350,5283
Gm34322,ENSMUSG00000111033,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0
Gm47240,ENSMUSG00000111635,10,4,8,0,2,2,4,2,8,4,10,2,1,2,0,0
Gm34424,ENSMUSG00000111381,0,0,0,0,0,0,0,2,0,2,11,11,13,18,12,2
Gm47241,ENSMUSG00000111739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19208,ENSMUSG00000110968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rplp1,ENSMUSG00000007892,124451,58435,54952,51849,57285,67291,54873,50624,72123,50698,58504,46419,101049,55317,74588,59544
Kif23,ENSMUSG00000032254,7906,6795,6786,8082,14312,16722,9840,10027,10142,10057,9485,8316,10874,7725,12571,9019
Paqr5,ENSMUSG00000032278,4,12,4,8,8,14,7,10,12,24,6,43,44,46,95,79
Gm23221,ENSMUSG00000088743,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Glce,ENSMUSG00000032252,4615,4104,4744,5322,4253,4950,4006,3963,4289,4013,3407,2533,3183,3847,4145,3830
Mir5133,ENSMUSG00000092696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47262,ENSMUSG00000110826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A730043L09Rik,ENSMUSG00000111232,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gm25603,ENSMUSG00000088986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spesp1,ENSMUSG00000046846,365,321,879,498,883,309,591,133,306,84,132,48,44,62,37,38
Gm35288,ENSMUSG00000111193,6,4,2,6,3,4,6,6,2,6,5,6,1,10,10,11
Anp32a,ENSMUSG00000032249,25531,19679,15144,18757,18031,18824,19804,19905,18584,18046,10120,7449,14838,12076,17546,13048
Coro2b,ENSMUSG00000041729,746,721,200,345,282,337,718,1030,1149,1212,998,1416,688,646,401,236
n-R5s84,ENSMUSG00000084540,0,0,0,0,0,0,1,2,0,2,2,2,0,4,0,2
Itga11,ENSMUSG00000032243,16,27,17,16,11,2,4,4,1,8,14,14,22,4,15,12
Gm7653,ENSMUSG00000111537,0,11,13,14,7,9,2,4,4,12,6,16,6,8,10,17
Fem1b,ENSMUSG00000032244,52391,33413,24567,26352,25618,29745,22654,24258,28180,30363,37573,30291,42281,33682,72195,47228
Cln6,ENSMUSG00000032245,1210,480,387,288,183,158,136,89,211,216,207,174,560,361,1300,688
Gm10653,ENSMUSG00000074250,28,17,9,7,16,14,16,9,15,22,11,13,15,24,39,26
Gm47274,ENSMUSG00000111805,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
Calml4,ENSMUSG00000032246,87,91,62,44,67,37,36,45,91,91,388,297,380,385,44,34
Pias1,ENSMUSG00000032405,2998,2470,2234,2269,2771,3088,2242,2333,3043,3385,2772,2408,2656,2698,2943,2368
Gm24526,ENSMUSG00000064855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48193,ENSMUSG00000111144,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Gm6082,ENSMUSG00000111297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25064,ENSMUSG00000094201,8,6,2,2,8,4,2,0,4,4,2,6,1,0,2,2
Skor1,ENSMUSG00000022245,8,0,0,6,19,18,55,60,88,33,280,140,198,93,56,86
Map2k5,ENSMUSG00000058444,2060,1451,1086,1023,822,1018,794,746,734,809,536,468,996,998,1908,1675
2300009A05Rik,ENSMUSG00000032403,68,36,44,67,91,74,42,34,32,28,44,44,91,104,244,144
Gm16759,ENSMUSG00000086539,1,0,4,0,2,1,0,4,0,3,6,5,1,5,31,19
Iqch,ENSMUSG00000037801,8,6,27,12,8,8,6,4,0,0,10,5,18,4,32,25
Gm25995,ENSMUSG00000093137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6257,ENSMUSG00000091866,54,44,34,26,58,30,40,26,36,34,12,26,60,46,48,42
Aagab,ENSMUSG00000037257,4589,3848,2472,2927,4145,4303,4398,4184,4999,4381,5201,3989,7363,6079,5081,4506
Smad3,ENSMUSG00000032402,4583,3148,2039,1896,2184,1839,1910,1925,2059,2285,1275,1121,2080,1409,4776,2863
Gm2553,ENSMUSG00000111137,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4
Gm18541,ENSMUSG00000110768,2,8,2,0,7,7,4,8,0,2,0,2,6,2,16,6
Gm36033,ENSMUSG00000111058,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0
Smad6,ENSMUSG00000036867,770,387,316,369,804,849,682,666,280,304,126,148,177,218,141,138
1700055C04Rik,ENSMUSG00000093616,0,6,0,1,7,14,10,6,11,5,0,0,0,0,0,0
Gm25606,ENSMUSG00000088988,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Scarletltr,ENSMUSG00000093759,0,1,0,0,5,5,1,2,1,0,0,0,0,0,1,2
Lctl,ENSMUSG00000032401,32,25,45,22,84,82,63,60,90,105,53,97,67,152,19,3
Zwilch,ENSMUSG00000032400,8826,7804,5576,6290,6405,7150,7305,7167,8389,7464,7696,5440,8542,6617,8044,6633
Rpl4,ENSMUSG00000032399,351780,230782,218268,195194,228918,266269,203961,202165,255970,205383,217843,163975,316315,232317,292367,264041
Gm23344,ENSMUSG00000065752,17,77,39,64,54,40,49,55,23,53,43,34,29,54,54,48
Snord16a,ENSMUSG00000094411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22571,ENSMUSG00000064918,41,110,51,105,48,89,76,85,70,83,62,57,32,60,70,51
